house_id,territory_id,living_area,geometry
125433,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1967217, 59.485154], [34.19671, 59.4850983], [34.1968481, 59.4850909], [34.1968597, 59.4851466], [34.1967217, 59.485154]]]}"
125520,286,50,"{'type': 'Polygon', 'coordinates': [[[34.198304, 59.4837915], [34.1982901, 59.4837562], [34.1983891, 59.4837461], [34.198403, 59.4837814], [34.198304, 59.4837915]]]}"
125523,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1970772, 59.4850135], [34.1970656, 59.4849578], [34.1972036, 59.4849504], [34.1972153, 59.4850061], [34.1970772, 59.4850135]]]}"
125525,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1977444, 59.4843372], [34.197739, 59.4842814], [34.1978905, 59.4842776], [34.1978958, 59.4843334], [34.1977444, 59.4843372]]]}"
125548,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1951395, 59.4822187], [34.1951279, 59.482163], [34.1952659, 59.4821555], [34.1952776, 59.4822112], [34.1951395, 59.4822187]]]}"
125568,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1970946, 59.4851653], [34.1970848, 59.4851077], [34.197255, 59.4851002], [34.1972648, 59.4851578], [34.1970946, 59.4851653]]]}"
125591,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1954461, 59.4820172], [34.1954419, 59.4819672], [34.195537, 59.4819652], [34.1955412, 59.4820152], [34.1954461, 59.4820172]]]}"
125594,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2825865, 59.5027178], [34.2825501, 59.5028294], [34.2826812, 59.5028405], [34.2827353, 59.502845], [34.2827395, 59.5028321], [34.2829451, 59.5028493], [34.2829409, 59.5028623], [34.282995, 59.5028669], [34.2832798, 59.5028908], [34.2833339, 59.5028953], [34.2833381, 59.5028824], [34.2835436, 59.5028996], [34.2835394, 59.5029126], [34.2835936, 59.5029172], [34.2837247, 59.5029282], [34.2837611, 59.5028165], [34.2825865, 59.5027178]]]}"
125605,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1984848, 59.4840048], [34.1983757, 59.4840131], [34.198355, 59.4839435], [34.1984641, 59.4839351], [34.1984848, 59.4840048]]]}"
125622,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2843238, 59.5029366], [34.2841136, 59.5029742], [34.2841578, 59.5030379], [34.284176, 59.5030641], [34.2842004, 59.5030597], [34.2842696, 59.5031595], [34.2842452, 59.5031638], [34.2842634, 59.5031901], [34.2843593, 59.5033283], [34.2843776, 59.5033545], [34.2844019, 59.5033501], [34.2844712, 59.5034499], [34.2844467, 59.5034542], [34.284465, 59.5034805], [34.2845091, 59.5035441], [34.2847195, 59.5035065], [34.2843238, 59.5029366]]]}"
